* Measurement data measured by REW V5.20.13
* Source: /Users/griff/Desktop/0 - REW Curves/Targets/Circumaural Targets/Harman/Harman 2018.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 10, 2022 12:20:19 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/griff/Desktop/0 - REW Curves/Targets/Circumaural Targets/Harman/Harman 2018.txt Format: Comma/Tab/Space delimited data 957 values loaded, 20 Hz to 19,895 Hz log spaced
* Measurement: Harman 2018
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
375.000000	88.842	0.0000
382.000000	88.867	0.0000
387.000000	88.883	0.0000
395.000000	88.908	0.0000
400.000000	88.923	0.0000
406.000000	88.939	0.0000
412.000000	88.953	0.0000
418.000000	88.967	0.0000
425.000000	88.985	0.0000
431.000000	89.001	0.0000
437.000000	89.018	0.0000
444.000000	89.038	0.0000
450.000000	89.055	0.0000
455.000000	89.071	0.0000
462.000000	89.093	0.0000
468.000000	89.112	0.0000
475.000000	89.135	0.0000
482.000000	89.157	0.0000
487.000000	89.173	0.0000
494.000000	89.196	0.0000
500.000000	89.215	0.0000
508.000000	89.241	0.0000
515.000000	89.265	0.0000
522.000000	89.288	0.0000
530.000000	89.315	0.0000
538.000000	89.342	0.0000
545.000000	89.365	0.0000
552.000000	89.388	0.0000
560.000000	89.413	0.0000
570.000000	89.440	0.0000
580.000000	89.465	0.0000
590.000000	89.490	0.0000
600.000000	89.516	0.0000
608.000000	89.538	0.0000
615.000000	89.560	0.0000
622.000000	89.580	0.0000
630.000000	89.603	0.0000
640.000000	89.627	0.0000
650.000000	89.650	0.0000
660.000000	89.672	0.0000
670.000000	89.693	0.0000
680.000000	89.712	0.0000
690.000000	89.730	0.0000
700.000000	89.747	0.0000
710.000000	89.764	0.0000
720.000000	89.779	0.0000
730.000000	89.795	0.0000
740.000000	89.809	0.0000
750.000000	89.823	0.0000
762.000000	89.837	0.0000
775.000000	89.850	0.0000
788.000000	89.863	0.0000
800.000000	89.873	0.0000
812.000000	89.881	0.0000
825.000000	89.889	0.0000
838.000000	89.897	0.0000
850.000000	89.905	0.0000
862.000000	89.914	0.0000
875.000000	89.925	0.0000
885.000000	89.932	0.0000
900.000000	89.944	0.0000
912.000000	89.954	0.0000
925.000000	89.965	0.0000
938.000000	89.975	0.0000
950.000000	89.986	0.0000
962.000000	90.001	0.0000
975.000000	90.019	0.0000
988.000000	90.038	0.0000
1000.000000	90.057	0.0000
1015.000000	90.085	0.0000
1030.000000	90.115	0.0000
1044.000000	90.143	0.0000
1060.000000	90.179	0.0000
1075.000000	90.218	0.0000
1090.000000	90.260	0.0000
1106.000000	90.306	0.0000
1120.000000	90.350	0.0000
1138.000000	90.415	0.0000
1150.000000	90.461	0.0000
1172.000000	90.546	0.0000
1180.000000	90.578	0.0000
1206.000000	90.688	0.0000
1220.000000	90.748	0.0000
1241.000000	90.838	0.0000
1250.000000	90.879	0.0000
1265.000000	90.952	0.0000
1280.000000	91.027	0.0000
1315.000000	91.203	0.0000
1320.000000	91.229	0.0000
1340.000000	91.335	0.0000
1360.000000	91.443	0.0000
1380.000000	91.549	0.0000
1400.000000	91.654	0.0000
1430.000000	91.808	0.0000
1450.000000	91.909	0.0000
1475.000000	92.033	0.0000
1500.000000	92.161	0.0000
1525.000000	92.300	0.0000
1550.000000	92.444	0.0000
1575.000000	92.586	0.0000
1600.000000	92.731	0.0000
1625.000000	92.884	0.0000
1650.000000	93.039	0.0000
1675.000000	93.194	0.0000
1700.000000	93.351	0.0000
1725.000000	93.515	0.0000
1750.000000	93.680	0.0000
1775.000000	93.844	0.0000
1800.000000	94.008	0.0000
1825.000000	94.173	0.0000
1850.000000	94.339	0.0000
1875.000000	94.504	0.0000
1900.000000	94.669	0.0000
1925.000000	94.834	0.0000
1950.000000	95.000	0.0000
1975.000000	95.162	0.0000
2000.000000	95.316	0.0000
2030.000000	95.483	0.0000
2060.000000	95.640	0.0000
2090.000000	95.793	0.0000
2120.000000	95.944	0.0000
2140.000000	96.042	0.0000
2180.000000	96.234	0.0000
2200.000000	96.329	0.0000
2240.000000	96.512	0.0000
2270.000000	96.644	0.0000
2300.000000	96.773	0.0000
2330.000000	96.898	0.0000
2360.000000	97.015	0.0000
2400.000000	97.153	0.0000
2430.000000	97.248	0.0000
2470.000000	97.372	0.0000
2500.000000	97.458	0.0000
2540.000000	97.565	0.0000
2580.000000	97.663	0.0000
2620.000000	97.759	0.0000
2650.000000	97.830	0.0000
2690.000000	97.916	0.0000
2720.000000	97.977	0.0000
2760.000000	98.055	0.0000
2800.000000	98.126	0.0000
2850.000000	98.196	0.0000
2900.000000	98.256	0.0000
2950.000000	98.316	0.0000
3000.000000	98.374	0.0000
3040.000000	98.420	0.0000
3070.000000	98.454	0.0000
3110.000000	98.498	0.0000
3150.000000	98.535	0.0000
3200.000000	98.567	0.0000
3250.000000	98.590	0.0000
3300.000000	98.611	0.0000
3350.000000	98.626	0.0000
3400.000000	98.631	0.0000
3450.000000	98.629	0.0000
3500.000000	98.625	0.0000
3550.000000	98.613	0.0000
3600.000000	98.589	0.0000
3650.000000	98.558	0.0000
3700.000000	98.526	0.0000
3750.000000	98.488	0.0000
