Freq[Hz]     dBSPL  Phase[Deg]
134.543     62.702   -27.087
136.500     62.654   -26.939
138.486     62.608   -26.783
140.500     62.560   -26.626
142.544     62.512   -26.453
144.617     62.472   -26.299
146.721     62.426   -26.171
148.855     62.378   -26.049
151.020     62.325   -25.934
153.217     62.265   -25.804
155.445     62.201   -25.638
157.706     62.135   -25.424
160.000     62.074   -25.177
162.327     62.016   -24.910
164.688     61.963   -24.633
167.084     61.913   -24.359
169.514     61.861   -24.077
171.980     61.817   -23.795
174.481     61.769   -23.519
177.019     61.722   -23.224
179.594     61.683   -22.937
182.206     61.639   -22.659
184.856     61.597   -22.366
187.545     61.560   -22.078
190.273     61.523   -21.806
193.041     61.484   -21.533
195.849     61.447   -21.259
198.697     61.412   -20.996
201.587     61.372   -20.733
204.520     61.334   -20.454
207.494     61.299   -20.174
210.512     61.264   -19.904
213.574     61.227   -19.630
216.681     61.193   -19.348
219.833     61.161   -19.073
223.030     61.128   -18.807
226.274     61.092   -18.534
229.565     61.060   -18.255
232.905     61.029   -17.985
236.292     60.997   -17.721
239.729     60.961   -17.449
243.216     60.929   -17.167
246.754     60.897   -16.890
250.343     60.865   -16.617
253.984     60.830   -16.332
257.678     60.798   -16.033
261.426     60.767   -15.735
265.229     60.737   -15.438
269.087     60.706   -15.134
273.001     60.676   -14.822
276.972     60.648   -14.504
281.000     60.623   -14.185
285.088     60.599   -13.868
289.234     60.581   -13.570
293.441     60.558   -13.293
297.709     60.532   -13.011
302.040     60.507   -12.718
306.433     60.481   -12.416
310.890     60.460   -12.108
315.412     60.444   -11.826
320.000     60.422   -11.568
324.655     60.397   -11.310
329.377     60.369   -11.046
334.168     60.339   -10.768
339.028     60.306   -10.465
343.959     60.276   -10.137
348.962     60.248    -9.794
354.038     60.223    -9.443
359.188     60.201    -9.088
364.412     60.185    -8.755
369.713     60.163    -8.443
375.090     60.138    -8.121
380.546     60.113    -7.782
386.081     60.087    -7.424
391.697     60.064    -7.050
397.394     60.046    -6.686
403.175     60.022    -6.323
409.039     59.997    -5.937
414.989     59.972    -5.520
421.025     59.949    -5.068
427.149     59.936    -4.595
433.362     59.930    -4.132
439.665     59.928    -3.691
446.060     59.928    -3.273
452.548     59.928    -2.870
459.131     59.928    -2.479
465.809     59.928    -2.094
472.584     59.928    -1.715
479.458     59.928    -1.339
486.432     59.928    -0.966
493.507     59.928    -0.594
500.686     59.928    -0.222
507.968     59.928     0.149
515.357     59.928     0.523
522.853     59.928     0.898
530.458     59.928     1.276
538.174     59.928     1.659
546.002     59.928     2.047
553.943     59.928     2.443
562.001     59.928     2.849
570.175     59.928     3.271
578.469     59.929     3.715
586.883     59.934     4.181
595.419     59.945     4.664
604.080     59.965     5.136
612.866     59.990     5.572
621.780     60.015     5.972
630.824     60.038     6.345
640.000     60.056     6.712
649.309     60.071     7.099
658.753     60.092     7.499
668.335     60.117     7.881
678.056     60.143     8.237
687.919     60.166     8.567
697.925     60.182     8.885
708.077     60.189     9.231
718.376     60.196     9.628
728.825     60.207    10.068
739.426     60.227    10.524
750.181     60.252    10.965
761.093     60.277    11.391
772.163     60.303    11.808
783.394     60.325    12.230
794.789     60.348    12.670
806.349     60.375    13.113
818.078     60.401    13.560
829.977     60.428    14.015
842.050     60.453    14.483
854.298     60.476    14.990
866.724     60.507    15.529
879.330     60.541    16.094
892.120     60.587    16.667
905.097     60.636    17.225
918.262     60.686    17.787
931.618     60.743    18.357
945.169     60.806    18.918
958.917     60.870    19.478
972.864     60.943    20.036
987.015     61.019    20.583
1001.37     61.102    21.121
1015.94     61.191    21.642
1030.71     61.286    22.133
1045.71     61.386    22.584
1060.92     61.485    23.000
1076.35     61.583    23.404
1092.00     61.685    23.799
1107.89     61.789    24.185
1124.00     61.897    24.566
1140.35     62.014    24.921
1156.94     62.136    25.233
1173.77     62.259    25.496
1190.84     62.378    25.729
1208.16     62.498    25.953
1225.73     62.621    26.166
1243.56     62.746    26.371
1261.65     62.879    26.566
1280.00     63.021    26.718
1298.62     63.167    26.810
1317.51     63.317    26.840
1336.67     63.467    26.810
1356.11     63.622    26.707
1375.84     63.774    26.513
1395.85     63.918    26.246
1416.15     64.054    25.918
1436.75     64.178    25.552
1457.65     64.292    25.177
1478.85     64.404    24.789
1500.36     64.506    24.390
1522.19     64.603    23.986
1544.33     64.689    23.592
1566.79     64.770    23.238
1589.58     64.853    22.919
1612.70     64.941    22.605
1636.16     65.030    22.279
1659.95     65.120    21.931
1684.10     65.205    21.558
1708.60     65.283    21.195
1733.45     65.365    20.842
1758.66     65.443    20.488
1784.24     65.521    20.138
1810.19     65.600    19.782
1836.52     65.673    19.433
1863.24     65.748    19.108
1890.34     65.826    18.797
1917.83     65.908    18.497
1945.73     66.000    18.172
1974.03     66.090    17.821
2002.74     66.184    17.452
2031.87     66.282    17.046
2061.43     66.380    16.596
2091.41     66.476    16.115
2121.83     66.572    15.602
2152.69     66.667    15.042
2184.01     66.753    14.452
2215.77     66.836    13.863
2248.00     66.920    13.258
2280.70     66.997    12.644
2313.87     67.078    12.022
2347.53     67.156    11.375
2381.68     67.232    10.712
2416.32     67.308    10.027
2451.46     67.379     9.326
2487.12     67.450     8.615
2523.30     67.521     7.881
2560.00     67.591     7.114
2597.24     67.659     6.304
2635.01     67.717     5.462
2673.34     67.767     4.612
2712.23     67.812     3.763
2751.68     67.851     2.917
2791.70     67.883     2.091
2832.31     67.916     1.286
2873.50     67.948     0.487
2915.30     67.977    -0.308
2957.70     68.006    -1.095
3000.72     68.035    -1.877
3044.37     68.065    -2.660
3088.65     68.095    -3.446
3133.58     68.127    -4.240
3179.16     68.160    -5.043
3225.40     68.199    -5.876
3272.31     68.238    -6.769
3319.91     68.269    -7.705
3368.20     68.296    -8.673
3417.19     68.315    -9.670
3466.89     68.325   -10.670
3517.32     68.329   -11.656
3568.48     68.329   -12.627
3620.39     68.329   -13.590
3673.05     68.329   -14.555
3726.47     68.329   -15.533
3780.67     68.329   -16.536
3835.67     68.326   -17.573
3891.46     68.319   -18.647
3948.06     68.301   -19.749
4005.49     68.273   -20.848
4063.75     68.240   -21.941
4122.86     68.196   -23.017
4182.82     68.148   -24.052
4243.66     68.104   -25.079
4305.39     68.052   -26.100
4368.01     68.002   -27.114
4431.55     67.949   -28.141
4496.01     67.891   -29.172
4561.40     67.831   -30.211
4627.75     67.762   -31.253
4695.06     67.691   -32.294
4763.35     67.610   -33.330
4832.64     67.525   -34.355
4902.93     67.431   -35.368
4974.24     67.328   -36.342
5046.60     67.224   -37.282
5120.00     67.111   -38.187
5194.47     66.995   -39.030
5270.03     66.882   -39.830
5346.68     66.766   -40.585
5424.45     66.659   -41.311
5503.35     66.553   -42.036
5583.40     66.449   -42.756
5664.61     66.347   -43.480
5747.01     66.244   -44.207
5830.60     66.140   -44.940
5915.41     66.036   -45.685
6001.45     65.930   -46.447
6088.74     65.820   -47.226
6177.30     65.701   -48.008
6267.15     65.575   -48.766
6358.31     65.445   -49.495
6450.80     65.314   -50.199
6544.62     65.182   -50.890
6639.82     65.050   -51.581
6736.40     64.915   -52.281
6834.38     64.775   -52.993
6933.79     64.622   -53.697
7034.64     64.460   -54.366
7136.96     64.286   -54.974
7240.77     64.108   -55.499
7346.09     63.928   -55.943
7452.94     63.754   -56.322
7561.35     63.584   -56.664
7671.33     63.415   -56.972
7782.91     63.250   -57.253
7896.12     63.084   -57.506
8010.97     62.916   -57.703
8127.49     62.759   -57.866
8245.71     62.601   -58.012
8365.65     62.449   -58.132
8487.33     62.304   -58.257
8610.78     62.151   -58.363
8736.03     62.004   -58.430
8863.09     61.860   -58.470
8992.01     61.720   -58.476
9122.80     61.594   -58.483
9255.50     61.472   -58.525
9390.12     61.349   -58.585
9526.70     61.231   -58.671
9665.27     61.104   -58.769
9805.86     60.977   -58.854
9948.49     60.848   -58.927
10093.2     60.720   -58.990
10240.0     60.590   -59.041
10388.9     60.461   -59.072
