* Measurement data measured by REW V5.20.13
* Source: C:\Users\tpgnm\Downloads\MRS.txt
* Format: Comma/Tab/Space delimited data
* Dated: Feb 1, 2023 10:43:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\tpgnm\Downloads\MRS.txt Format: Comma/Tab/Space delimited data 8 values loaded, 20 Hz to 20,040 Hz log spaced
* Measurement: MRS
* Smoothing: 1/3 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1975.000000	105.001
2000.000000	105.093
2030.000000	105.201
2060.000000	105.308
2090.000000	105.413
2120.000000	105.517
2140.000000	105.585
2180.000000	105.720
2200.000000	105.786
2240.000000	105.917
2270.000000	106.013
2300.000000	106.108
2330.000000	106.202
2360.000000	106.294
2400.000000	106.414
2430.000000	106.503
2470.000000	106.618
2500.000000	106.702
2540.000000	106.811
2580.000000	106.916
2620.000000	107.016
2650.000000	107.088
2690.000000	107.178
2720.000000	107.241
2760.000000	107.319
2800.000000	107.388
2850.000000	107.461
2900.000000	107.517
2950.000000	107.555
3000.000000	107.575
3040.000000	107.577
3070.000000	107.572
3110.000000	107.557
3150.000000	107.532
3200.000000	107.491
3250.000000	107.439
3300.000000	107.380
3350.000000	107.314
3400.000000	107.245
3450.000000	107.172
3500.000000	107.097
3550.000000	107.021
3600.000000	106.944
3650.000000	106.867
3700.000000	106.790
3750.000000	106.713
3820.000000	106.606
3870.000000	106.531
3950.000000	106.411
4000.000000	106.337
4060.000000	106.249
4120.000000	106.162
4180.000000	106.075
4250.000000	105.974
4310.000000	105.888
4370.000000	105.802
4440.000000	105.701
4500.000000	105.613
4550.000000	105.538
4620.000000	105.431
4680.000000	105.337
4750.000000	105.222
4820.000000	105.101
4870.000000	105.012
4940.000000	104.880
5000.000000	104.761
5080.000000	104.596
5150.000000	104.444
5220.000000	104.287
5300.000000	104.103
5380.000000	103.918
5450.000000	103.755
5520.000000	103.596
5600.000000	103.419
5700.000000	103.212
5800.000000	103.025
5900.000000	102.862
6000.000000	102.728
6080.000000	102.641
6150.000000	102.581
6220.000000	102.534
6300.000000	102.496
6400.000000	102.467
6500.000000	102.457
6600.000000	102.460
6700.000000	102.475
6800.000000	102.496
6900.000000	102.522
7000.000000	102.551
7100.000000	102.581
7200.000000	102.609
7300.000000	102.636
7400.000000	102.659
7500.000000	102.677
7620.000000	102.692
7750.000000	102.698
7880.000000	102.692
8000.000000	102.676
8120.000000	102.649
8250.000000	102.608
8380.000000	102.557
8500.000000	102.503
8620.000000	102.441
8750.000000	102.369
8850.000000	102.311
9000.000000	102.219
9120.000000	102.143
9250.000000	102.060
9380.000000	101.975
9500.000000	101.897
9620.000000	101.818
9750.000000	101.733
9880.000000	101.649
10000.000000	101.571
10150.000000	101.475
10300.000000	101.380
10440.000000	101.292
10600.000000	101.193
10750.000000	101.102
10900.000000	101.011
11060.000000	100.916
11200.000000	100.834
11380.000000	100.729
11500.000000	100.661
11720.000000	100.537
11800.000000	100.492
12060.000000	100.350
12200.000000	100.274
12410.000000	100.162
12500.000000	100.115
12650.000000	100.037
12800.000000	99.960
13150.000000	99.783
13200.000000	99.758
13400.000000	99.660
13600.000000	99.563
13800.000000	99.467
14000.000000	99.373
14300.000000	99.234
14500.000000	99.143
14750.000000	99.031
15000.000000	98.922
15250.000000	98.814
15500.000000	98.708
15750.000000	98.603
16000.000000	98.501
16250.000000	98.401
16500.000000	98.303
16750.000000	98.207
17000.000000	98.114
17250.000000	98.024
17500.000000	97.937
17750.000000	97.854
18000.000000	97.776
18250.000000	97.703
18500.000000	97.636
18750.000000	97.577
19000.000000	97.525
19250.000000	97.483
19500.000000	97.451
19750.000000	97.430
20000.000000	97.419
