20.61,71.05
21.30,71.03
22.02,70.99
22.76,70.94
23.53,70.89
24.32,70.82
25.14,70.74
25.98,70.65
26.86,70.55
27.77,70.45
28.70,70.33
29.67,70.21
30.67,70.09
31.70,69.96
32.77,69.82
33.87,69.68
35.02,69.53
36.20,69.39
37.42,69.23
38.68,69.07
39.98,68.91
41.33,68.73
42.72,68.54
44.16,68.34
45.65,68.14
47.19,67.92
48.78,67.69
50.43,67.45
52.13,67.20
53.89,66.94
55.71,66.67
57.58,66.41
59.53,66.13
61.54,65.87
63.61,65.59
65.76,65.33
67.97,65.07
70.27,64.81
72.64,64.54
75.09,64.29
77.62,64.04
80.24,63.79
82.95,63.54
85.74,63.30
88.63,63.06
91.62,62.82
94.71,62.58
97.91,62.36
101.21,62.15
104.62,61.95
108.15,61.76
111.80,61.57
115.56,61.40
119.46,61.25
123.49,61.10
127.65,60.97
131.95,60.85
136.40,60.75
140.99,60.65
145.74,60.57
150.65,60.48
155.73,60.41
160.97,60.35
166.39,60.30
172.00,60.25
177.79,60.22
183.78,60.18
189.97,60.18
196.37,60.13
202.98,60.12
209.81,60.12
216.88,60.11
224.18,60.07
231.73,60.06
239.53,60.06
247.60,60.06
255.93,60.06
264.55,60.06
273.46,60.06
282.67,60.06
292.18,60.07
302.02,60.07
312.19,60.07
322.70,60.08
333.57,60.11
344.80,60.13
356.41,60.11
368.41,60.13
380.81,60.13
393.63,60.13
406.89,60.13
420.59,60.13
434.75,60.14
449.38,60.17
464.51,60.18
480.15,60.20
496.32,60.20
513.03,60.20
530.30,60.20
548.16,60.20
566.61,60.20
585.69,60.23
605.41,60.25
625.79,60.26
646.86,60.26
668.64,60.26
691.15,60.29
714.42,60.29
738.47,60.32
763.33,60.32
789.03,60.35
815.59,60.39
843.04,60.45
871.41,60.53
900.74,60.62
931.04,60.75
962.34,60.93
994.70,61.15
1028.13,61.42
1062.67,61.74
1098.36,62.10
1135.24,62.50
1173.35,62.91
1212.75,63.32
1253.47,63.73
1295.56,64.11
1339.07,64.47
1384.06,64.80
1430.56,65.10
1478.63,65.38
1528.33,65.65
1579.69,65.93
1632.78,66.19
1687.65,66.46
1744.37,66.73
1802.99,67.00
1863.58,67.28
1926.21,67.55
1990.95,67.81
2057.88,68.05
2127.05,68.29
2198.57,68.50
2272.49,68.70
2348.91,68.88
2427.92,69.03
2509.60,69.15
2594.05,69.24
2681.35,69.29
2771.62,69.33
2864.94,69.32
2961.43,69.28
3061.20,69.20
3164.36,69.08
3271.02,68.94
3381.28,68.77
3495.27,68.60
3613.11,68.41
3734.94,68.20
3860.89,67.98
3991.11,67.74
4125.72,67.49
4264.88,67.24
4408.72,67.00
4557.42,66.76
4711.15,66.50
4870.07,66.23
5034.36,65.96
5204.18,65.69
5379.75,65.42
5561.21,65.16
5748.79,64.91
5942.72,64.64
6143.21,64.36
6350.48,64.06
6564.69,63.80
6786.11,63.55
7014.99,63.31
7251.62,63.05
7496.26,62.77
7749.11,62.52
8010.44,62.29
8280.55,62.08
8559.87,61.82
8848.54,61.59
9146.92,61.38
9455.37,61.16
9774.20,60.95
10103.77,60.75
10444.41,60.56
10796.54,60.37
11160.56,60.18
11536.81,60.00
11925.79,59.81
12327.92,59.60
12743.67,59.37
13173.50,59.12
13617.86,58.86
14077.25,58.59
14552.27,58.28
15043.42,57.94
15551.20,57.58
16076.13,57.22
16618.89,56.83
17179.98,56.44
17759.96,56.07
18359.61,55.67
18979.66,55.23
19502.44,54.90
19911.22,54.61
20253.95,54.38
