* Measurement data measured by REW V5.20.13
* Source: C:\Users\tpgnm\OneDrive\Documents\Measurements\SecritTuning.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jan 5, 2023 9:13:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\tpgnm\OneDrive\Documents\Measurements\SecritTuning.txt Format: Comma/Tab/Space delimited data 37 values loaded, 20 Hz to 20,000 Hz
* Measurement: test
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1925.000000	103.776
1950.000000	103.853
1975.000000	103.928
2000.000000	104.000
2030.000000	104.084
2060.000000	104.165
2090.000000	104.242
2120.000000	104.316
2140.000000	104.363
2180.000000	104.454
2200.000000	104.497
2240.000000	104.580
2270.000000	104.638
2300.000000	104.694
2330.000000	104.747
2360.000000	104.797
2400.000000	104.860
2430.000000	104.905
2470.000000	104.961
2500.000000	105.002
2540.000000	105.056
2580.000000	105.109
2620.000000	105.157
2650.000000	105.191
2690.000000	105.232
2720.000000	105.260
2760.000000	105.294
2800.000000	105.323
2850.000000	105.353
2900.000000	105.375
2950.000000	105.390
3000.000000	105.393
3040.000000	105.385
3070.000000	105.374
3110.000000	105.354
3150.000000	105.330
3200.000000	105.295
3250.000000	105.255
3300.000000	105.210
3350.000000	105.161
3400.000000	105.109
3450.000000	105.056
3500.000000	105.004
3550.000000	104.956
3600.000000	104.911
3650.000000	104.864
3700.000000	104.817
3750.000000	104.768
3820.000000	104.697
3870.000000	104.644
3950.000000	104.556
4000.000000	104.498
4060.000000	104.423
4120.000000	104.346
4180.000000	104.265
4250.000000	104.168
4310.000000	104.083
4370.000000	103.995
4440.000000	103.891
4500.000000	103.798
4550.000000	103.719
4620.000000	103.606
4680.000000	103.508
4750.000000	103.395
4820.000000	103.282
4870.000000	103.203
4940.000000	103.094
5000.000000	103.006
5080.000000	102.898
5150.000000	102.810
5220.000000	102.724
5300.000000	102.630
5380.000000	102.537
5450.000000	102.456
5520.000000	102.375
5600.000000	102.280
5700.000000	102.160
5800.000000	102.040
5900.000000	101.920
6000.000000	101.800
6080.000000	101.704
6150.000000	101.620
6220.000000	101.536
6300.000000	101.440
6400.000000	101.320
6500.000000	101.199
6600.000000	101.077
6700.000000	100.954
6800.000000	100.833
6900.000000	100.716
7000.000000	100.604
7100.000000	100.498
7200.000000	100.395
7300.000000	100.293
7400.000000	100.192
7500.000000	100.092
7620.000000	99.974
7750.000000	99.845
7880.000000	99.718
8000.000000	99.599
8120.000000	99.478
8250.000000	99.347
8380.000000	99.215
8500.000000	99.095
8620.000000	98.975
8750.000000	98.846
8850.000000	98.748
9000.000000	98.603
9120.000000	98.490
9250.000000	98.371
9380.000000	98.253
9500.000000	98.145
9620.000000	98.038
9750.000000	97.922
9880.000000	97.806
10000.000000	97.699
10150.000000	97.562
10300.000000	97.424
10440.000000	97.296
10600.000000	97.152
10750.000000	97.018
10900.000000	96.888
11060.000000	96.753
11200.000000	96.637
11380.000000	96.489
11500.000000	96.390
11720.000000	96.210
11800.000000	96.145
12060.000000	95.933
12200.000000	95.820
12410.000000	95.650
12500.000000	95.577
12650.000000	95.456
12800.000000	95.335
