* Measurement data measured by REW V5.30.9
* Source: Haruto Target Old Filtered
* Format: 
* Dated: Mar 12, 2024 3:32:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\HarutoHiroki\Desktop\Cryptonix Stuff\graphtools\graphtool\data\targets\Haruto 2021 Target.txt Format: Comma/Tab/Space delimited data 481 values loaded, 20 Hz to 20,040 Hz log spaced  PK       Fc   20.00 Hz  Gain   1.50 dB  Q  1.000 PK       Fc   70.00 Hz  Gain   1.70 dB  Q  0.700 PK       Fc   400.0 Hz  Gain   0.80 dB  Q  1.000 PK       Fc    1000 Hz  Gain  -0.70 dB  Q  3.000 PK       Fc    1300 Hz  Gain  -0.60 dB  Q  3.000 PK       Fc    1500 Hz  Gain  -0.40 dB  Q  5.000 PK       Fc    1900 Hz  Gain  -2.20 dB  Q  2.000 PK       Fc    3000 Hz  Gain   0.80 dB  Q  3.000 PK       Fc    3500 Hz  Gain   0.50 dB  Q  3.000 PK       Fc    5500 Hz  Gain  -1.30 dB  Q  1.000 PK       Fc    6900 Hz  Gain   0.20 dB  Q  6.000 PK       Fc    8000 Hz  Gain   1.60 dB  Q  3.000
* Measurement: Haruto Target 2024 v3 final
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1075.000000	97.957
1090.000000	98.057
1106.000000	98.162
1120.000000	98.251
1138.000000	98.361
1150.000000	98.430
1172.000000	98.550
1180.000000	98.591
1206.000000	98.720
1220.000000	98.786
1241.000000	98.883
1250.000000	98.925
1265.000000	98.995
1280.000000	99.065
1315.000000	99.235
1320.000000	99.259
1340.000000	99.357
1360.000000	99.454
1380.000000	99.548
1400.000000	99.637
1430.000000	99.761
1450.000000	99.840
1475.000000	99.940
1500.000000	100.043
1525.000000	100.148
1550.000000	100.254
1575.000000	100.360
1600.000000	100.459
1625.000000	100.549
1650.000000	100.628
1675.000000	100.698
1700.000000	100.762
1725.000000	100.821
1750.000000	100.879
1775.000000	100.938
1800.000000	101.000
1825.000000	101.067
1850.000000	101.142
1875.000000	101.224
1900.000000	101.314
1925.000000	101.414
1950.000000	101.521
1975.000000	101.636
2000.000000	101.758
2030.000000	101.911
2060.000000	102.070
2090.000000	102.231
2120.000000	102.394
2140.000000	102.502
2180.000000	102.716
2200.000000	102.821
2240.000000	103.027
2270.000000	103.175
2300.000000	103.319
2330.000000	103.458
2360.000000	103.591
2400.000000	103.763
2430.000000	103.886
2470.000000	104.045
2500.000000	104.161
2540.000000	104.313
2580.000000	104.462
2620.000000	104.605
2650.000000	104.710
2690.000000	104.843
2720.000000	104.939
2760.000000	105.060
2800.000000	105.173
2850.000000	105.298
2900.000000	105.403
2950.000000	105.485
3000.000000	105.537
3040.000000	105.556
3070.000000	105.558
3110.000000	105.548
3150.000000	105.525
3200.000000	105.483
3250.000000	105.428
3300.000000	105.363
3350.000000	105.288
3400.000000	105.206
3450.000000	105.118
3500.000000	105.025
3550.000000	104.930
3600.000000	104.833
3650.000000	104.732
3700.000000	104.627
3750.000000	104.520
3820.000000	104.368
3870.000000	104.258
3950.000000	104.084
4000.000000	103.976
4060.000000	103.844
4120.000000	103.714
4180.000000	103.584
4250.000000	103.434
4310.000000	103.307
4370.000000	103.180
4440.000000	103.035
4500.000000	102.909
4550.000000	102.805
4620.000000	102.661
4680.000000	102.538
4750.000000	102.399
4820.000000	102.265
4870.000000	102.171
4940.000000	102.046
5000.000000	101.947
5080.000000	101.827
5150.000000	101.732
5220.000000	101.643
5300.000000	101.548
5380.000000	101.460
5450.000000	101.387
5520.000000	101.316
5600.000000	101.238
5700.000000	101.145
5800.000000	101.060
5900.000000	100.981
6000.000000	100.910
6080.000000	100.859
6150.000000	100.819
6220.000000	100.783
6300.000000	100.748
6400.000000	100.713
6500.000000	100.687
6600.000000	100.671
6700.000000	100.661
6800.000000	100.654
6900.000000	100.646
7000.000000	100.636
7100.000000	100.626
7200.000000	100.620
7300.000000	100.620
7400.000000	100.624
7500.000000	100.631
7620.000000	100.636
7750.000000	100.622
7880.000000	100.577
8000.000000	100.499
8120.000000	100.382
8250.000000	100.218
8380.000000	100.022
8500.000000	99.825
8620.000000	99.620
8750.000000	99.397
8850.000000	99.230
9000.000000	98.988
9120.000000	98.807
9250.000000	98.622
9380.000000	98.447
9500.000000	98.294
9620.000000	98.149
9750.000000	97.997
9880.000000	97.851
10000.000000	97.721
10150.000000	97.560
10300.000000	97.403
10440.000000	97.260
10600.000000	97.103
10750.000000	96.959
10900.000000	96.821
11060.000000	96.680
11200.000000	96.559
11380.000000	96.407
11500.000000	96.307
11720.000000	96.125
11800.000000	96.059
12060.000000	95.847
12200.000000	95.735
12410.000000	95.566
12500.000000	95.494
12650.000000	95.374
12800.000000	95.255
13150.000000	94.979
13200.000000	94.939
13400.000000	94.783
13600.000000	94.627
13800.000000	94.471
14000.000000	94.316
14300.000000	94.085
14500.000000	93.931
14750.000000	93.740
15000.000000	93.553
15250.000000	93.371
15500.000000	93.193
15750.000000	93.018
16000.000000	92.847
16250.000000	92.676
16500.000000	92.508
16750.000000	92.341
17000.000000	92.177
17250.000000	92.020
17500.000000	91.867
17750.000000	91.716
18000.000000	91.566
18250.000000	91.417
18500.000000	91.270
18750.000000	91.123
19000.000000	90.976
19250.000000	90.831
19500.000000	90.689
19750.000000	90.565
20000.000000	90.496
