* Measurement data measured by REW V5.20.13
* Source: C:\Users\tpgnm\OneDrive\Desktop\Cryptonix Stuff\graphtool\data\Haruto Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jan 3, 2023 10:54:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\tpgnm\OneDrive\Desktop\Cryptonix Stuff\graphtool\data\Haruto Target.txt Format: Comma/Tab/Space delimited data 37 values loaded, 20 Hz to 20,000 Hz
* Measurement: Haruto Target
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1825.000000	66.127
1850.000000	66.216
1875.000000	66.301
1900.000000	66.384
1925.000000	66.464
1950.000000	66.541
1975.000000	66.616
2000.000000	66.688
2030.000000	66.772
2060.000000	66.853
2090.000000	66.930
2120.000000	67.004
2140.000000	67.051
2180.000000	67.142
2200.000000	67.185
2240.000000	67.268
2270.000000	67.326
2300.000000	67.382
2330.000000	67.435
2360.000000	67.485
2400.000000	67.548
2430.000000	67.593
2470.000000	67.649
2500.000000	67.690
2540.000000	67.744
2580.000000	67.797
2620.000000	67.845
2650.000000	67.879
2690.000000	67.920
2720.000000	67.948
2760.000000	67.982
2800.000000	68.011
2850.000000	68.041
2900.000000	68.063
2950.000000	68.078
3000.000000	68.081
3040.000000	68.073
3070.000000	68.062
3110.000000	68.042
3150.000000	68.018
3200.000000	67.983
3250.000000	67.943
3300.000000	67.898
3350.000000	67.849
3400.000000	67.797
3450.000000	67.744
3500.000000	67.692
3550.000000	67.644
3600.000000	67.599
3650.000000	67.552
3700.000000	67.505
3750.000000	67.456
3820.000000	67.385
3870.000000	67.332
3950.000000	67.245
4000.000000	67.184
4060.000000	67.011
4120.000000	66.890
4180.000000	66.951
4250.000000	66.855
4310.000000	66.690
4370.000000	66.583
4440.000000	66.483
4500.000000	66.484
4550.000000	66.409
4620.000000	66.294
4680.000000	66.196
4750.000000	66.083
4820.000000	65.970
4870.000000	65.891
4940.000000	65.782
5000.000000	65.694
5080.000000	65.586
5150.000000	65.502
5220.000000	65.503
5300.000000	65.322
5380.000000	65.225
5450.000000	65.144
5520.000000	65.063
5600.000000	64.968
5700.000000	64.848
5800.000000	64.728
5900.000000	64.608
6000.000000	64.488
6080.000000	64.392
6150.000000	64.308
6220.000000	64.224
6300.000000	64.128
6400.000000	64.008
6500.000000	63.887
6600.000000	63.765
6700.000000	63.642
6800.000000	63.521
6900.000000	63.404
7000.000000	63.292
7100.000000	63.186
7200.000000	63.083
7300.000000	62.981
7400.000000	62.880
7500.000000	62.780
7620.000000	62.662
7750.000000	62.533
7880.000000	62.406
8000.000000	62.287
8120.000000	62.166
8250.000000	62.035
8380.000000	61.903
8500.000000	61.783
8620.000000	61.663
8750.000000	61.534
8850.000000	61.436
9000.000000	61.291
9120.000000	61.178
9250.000000	61.059
9380.000000	60.941
9500.000000	60.833
9620.000000	60.726
9750.000000	60.610
9880.000000	60.494
10000.000000	60.387
10150.000000	60.250
10300.000000	60.112
10440.000000	59.984
10600.000000	59.840
10750.000000	59.707
10900.000000	59.576
11060.000000	59.441
11200.000000	59.325
11380.000000	59.177
11500.000000	59.078
11720.000000	58.899
11800.000000	58.833
12060.000000	58.622
12200.000000	58.508
12410.000000	58.338
12500.000000	58.266
12650.000000	58.144
12800.000000	58.023
13150.000000	57.743
13200.000000	57.704
13400.000000	57.544
13600.000000	57.386
13800.000000	57.228
14000.000000	57.070
14300.000000	56.834
14500.000000	56.678
14750.000000	56.483
15000.000000	56.293
15250.000000	56.108
15500.000000	55.926
15750.000000	55.749
16000.000000	55.575
16250.000000	55.402
16500.000000	55.231
16750.000000	55.061
17000.000000	54.895
17250.000000	54.736
17500.000000	54.581
17750.000000	54.428
18000.000000	54.276
18250.000000	54.125
18500.000000	53.976
18750.000000	53.827
19000.000000	53.679
19250.000000	53.531
19500.000000	53.387
19750.000000	53.257
20000.000000	53.186
