* Measurement data measured by REW V5.20.3
* Format: Comma/Tab/Space delimited data
* Dated: 21-Oct-2021 09:02:00
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: VSG Target
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
444.000000	60.099	0.0000
450.000000	60.099	0.0000
455.000000	60.099	0.0000
462.000000	60.098	0.0000
468.000000	60.097	0.0000
475.000000	60.095	0.0000
482.000000	60.093	0.0000
487.000000	60.091	0.0000
494.000000	60.087	0.0000
500.000000	60.083	0.0000
508.000000	60.077	0.0000
515.000000	60.071	0.0000
522.000000	60.064	0.0000
530.000000	60.056	0.0000
538.000000	60.047	0.0000
545.000000	60.039	0.0000
552.000000	60.030	0.0000
560.000000	60.020	0.0000
570.000000	60.008	0.0000
580.000000	59.996	0.0000
590.000000	59.984	0.0000
600.000000	59.973	0.0000
608.000000	59.964	0.0000
615.000000	59.957	0.0000
622.000000	59.949	0.0000
630.000000	59.941	0.0000
640.000000	59.931	0.0000
650.000000	59.921	0.0000
660.000000	59.912	0.0000
670.000000	59.904	0.0000
680.000000	59.896	0.0000
690.000000	59.889	0.0000
700.000000	59.882	0.0000
710.000000	59.875	0.0000
720.000000	59.870	0.0000
730.000000	59.866	0.0000
740.000000	59.862	0.0000
750.000000	59.859	0.0000
762.000000	59.856	0.0000
775.000000	59.855	0.0000
788.000000	59.855	0.0000
800.000000	59.857	0.0000
812.000000	59.860	0.0000
825.000000	59.865	0.0000
838.000000	59.872	0.0000
850.000000	59.880	0.0000
862.000000	59.890	0.0000
875.000000	59.904	0.0000
885.000000	59.916	0.0000
900.000000	59.936	0.0000
912.000000	59.956	0.0000
925.000000	59.982	0.0000
938.000000	60.011	0.0000
950.000000	60.043	0.0000
962.000000	60.079	0.0000
975.000000	60.123	0.0000
988.000000	60.173	0.0000
1000.000000	60.225	0.0000
1015.000000	60.298	0.0000
1030.000000	60.378	0.0000
1044.000000	60.459	0.0000
1060.000000	60.559	0.0000
1075.000000	60.657	0.0000
1090.000000	60.761	0.0000
1106.000000	60.876	0.0000
1120.000000	60.979	0.0000
1138.000000	61.115	0.0000
1150.000000	61.208	0.0000
1172.000000	61.382	0.0000
1180.000000	61.447	0.0000
1206.000000	61.659	0.0000
1220.000000	61.776	0.0000
1241.000000	61.952	0.0000
1250.000000	62.029	0.0000
1265.000000	62.156	0.0000
1280.000000	62.285	0.0000
