* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 4, 2023 4:07:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: AudioSense DT200 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.383	-2.9520
20.600000	104.350	-3.4109
20.900000	104.314	-3.8785
21.200001	104.274	-4.3578
21.400000	104.248	-4.6815
21.799999	104.203	-5.3316
22.000000	104.186	-5.6552
22.400000	104.161	-6.2963
22.700001	104.136	-6.7705
23.000000	104.091	-7.2347
23.299999	104.034	-7.6769
23.600000	103.980	-8.0828
24.000000	103.927	-8.5505
24.299999	103.904	-8.8504
24.700001	103.891	-9.2227
25.000000	103.889	-9.5292
25.400000	103.889	-10.0319
25.799999	103.883	-10.6550
26.200001	103.863	-11.3335
26.500000	103.837	-11.8124
26.900000	103.793	-12.3493
27.200001	103.760	-12.6736
27.600000	103.724	-13.0550
28.000000	103.691	-13.4638
28.500000	103.635	-14.0419
29.000000	103.548	-14.5204
29.500000	103.453	-14.7005
30.000000	103.393	-14.6548
30.400000	103.383	-14.6837
30.700001	103.389	-14.8463
31.100000	103.389	-15.2559
31.500000	103.360	-15.7615
32.000000	103.281	-16.2671
32.500000	103.199	-16.5163
33.000000	103.151	-16.6822
33.500000	103.126	-16.9850
34.000000	103.089	-17.4454
34.500000	103.027	-17.9161
35.000000	102.958	-18.3077
35.500000	102.897	-18.6570
36.000000	102.841	-19.0151
36.500000	102.781	-19.3550
37.000000	102.724	-19.6299
37.500000	102.680	-19.8661
38.200001	102.632	-20.2656
38.700001	102.590	-20.6094
39.500000	102.494	-21.0684
40.000000	102.424	-21.2474
40.599998	102.348	-21.4082
41.200001	102.285	-21.5858
41.799999	102.224	-21.8036
42.500000	102.147	-22.0728
43.099998	102.084	-22.2703
43.700001	102.033	-22.4481
44.400002	101.984	-22.7114
45.000000	101.937	-23.0020
45.500000	101.890	-23.2296
46.200001	101.822	-23.4567
46.799999	101.773	-23.6100
47.500000	101.723	-23.8409
48.200001	101.677	-24.1057
48.700001	101.649	-24.2729
49.400002	101.609	-24.4784
50.000000	101.562	-24.6575
50.799999	101.477	-24.8978
51.500000	101.401	-25.0966
52.200001	101.335	-25.2935
53.000000	101.263	-25.5000
53.799999	101.193	-25.6696
54.500000	101.142	-25.8105
55.200001	101.085	-25.9493
56.000000	101.013	-26.0864
57.000000	100.945	-26.2423
58.000000	100.882	-26.4124
59.000000	100.800	-26.5972
60.000000	100.728	-26.7657
60.799999	100.680	-26.8749
61.500000	100.631	-26.9662
62.200001	100.572	-27.0590
63.000000	100.509	-27.1618
64.000000	100.446	-27.2852
65.000000	100.378	-27.3958
66.000000	100.296	-27.4912
67.000000	100.226	-27.5845
68.000000	100.172	-27.6714
69.000000	100.127	-27.7521
70.000000	100.079	-27.8319
71.000000	100.015	-27.9069
72.000000	99.934	-27.9716
73.000000	99.853	-28.0131
74.000000	99.792	-28.0439
75.000000	99.749	-28.0966
76.199997	99.698	-28.1745
77.500000	99.638	-28.2505
78.800003	99.570	-28.3167
80.000000	99.503	-28.3599
81.199997	99.432	-28.3911
82.500000	99.351	-28.4277
83.800003	99.271	-28.4526
85.000000	99.207	-28.4678
86.199997	99.149	-28.4846
87.500000	99.094	-28.5042
88.500000	99.056	-28.5177
90.000000	98.995	-28.5330
91.199997	98.933	-28.5400
92.500000	98.858	-28.5430
93.800003	98.785	-28.5336
95.000000	98.726	-28.5192
96.199997	98.674	-28.5055
97.500000	98.621	-28.4922
98.800003	98.572	-28.4788
100.000000	98.531	-28.4563
101.500000	98.485	-28.4138
103.000000	98.434	-28.3727
104.400002	98.372	-28.3417
106.000000	98.289	-28.3052
107.500000	98.217	-28.2635
109.000000	98.171	-28.2146
110.599998	98.137	-28.1597
112.000000	98.098	-28.1160
113.800003	98.020	-28.0782
115.000000	97.966	-28.0530
117.199997	97.903	-27.9859
118.000000	97.885	-27.9561
120.599998	97.802	-27.8517
122.000000	97.751	-27.8013
124.099998	97.681	-27.7405
125.000000	97.650	-27.7161
126.500000	97.602	-27.6687
128.000000	97.564	-27.6092
131.500000	97.473	-27.4484
132.000000	97.458	-27.4267
134.000000	97.394	-27.3495
136.000000	97.333	-27.2787
138.000000	97.282	-27.2085
140.000000	97.227	-27.1213
143.000000	97.132	-26.9731
145.000000	97.069	-26.8804
147.500000	96.994	-26.7670
150.000000	96.933	-26.6395
152.500000	96.888	-26.4968
155.000000	96.846	-26.3524
157.500000	96.809	-26.2264
160.000000	96.764	-26.1028
162.500000	96.707	-25.9613
165.000000	96.645	-25.8021
167.500000	96.590	-25.6400
170.000000	96.548	-25.4795
172.500000	96.502	-25.3168
175.000000	96.445	-25.1411
177.500000	96.388	-24.9437
180.000000	96.338	-24.7269
182.500000	96.282	-24.4912
185.000000	96.217	-24.2335
187.500000	96.154	-23.9406
190.000000	96.097	-23.5939
192.500000	96.048	-23.1924
195.000000	96.012	-22.7451
197.500000	96.000	-22.2762
200.000000	96.007	-21.8274
203.000000	96.029	-21.3971
206.000000	96.059	-21.1719
209.000000	96.091	-21.1569
212.000000	96.106	-21.2877
214.000000	96.102	-21.4086
218.000000	96.072	-21.6144
220.000000	96.053	-21.6813
224.000000	96.008	-21.7527
227.000000	95.974	-21.7616
230.000000	95.940	-21.7442
233.000000	95.899	-21.7144
236.000000	95.854	-21.6764
240.000000	95.802	-21.5972
243.000000	95.770	-21.5195
247.000000	95.723	-21.4138
250.000000	95.681	-21.3469
254.000000	95.623	-21.2585
258.000000	95.574	-21.1383
262.000000	95.528	-20.9877
265.000000	95.492	-20.8720
269.000000	95.446	-20.7296
272.000000	95.413	-20.6207
276.000000	95.371	-20.4628
280.000000	95.329	-20.2977
285.000000	95.272	-20.0835
290.000000	95.224	-19.8676
295.000000	95.184	-19.6492
300.000000	95.144	-19.4219
304.000000	95.107	-19.2330
307.000000	95.077	-19.0977
311.000000	95.040	-18.9253
315.000000	95.003	-18.7559
320.000000	94.955	-18.5403
325.000000	94.908	-18.3227
330.000000	94.870	-18.1183
335.000000	94.842	-17.9176
340.000000	94.807	-17.7137
345.000000	94.765	-17.5067
350.000000	94.721	-17.2936
355.000000	94.678	-17.0803
360.000000	94.642	-16.8771
365.000000	94.611	-16.6667
370.000000	94.580	-16.4423
375.000000	94.546	-16.2173
382.000000	94.495	-15.9108
387.000000	94.463	-15.6939
395.000000	94.414	-15.3373
400.000000	94.380	-15.1008
406.000000	94.343	-14.8119
412.000000	94.310	-14.5307
418.000000	94.275	-14.2556
425.000000	94.226	-13.9387
431.000000	94.188	-13.6585
437.000000	94.155	-13.3719
444.000000	94.119	-13.0482
450.000000	94.095	-12.7812
455.000000	94.073	-12.5646
462.000000	94.040	-12.2648
468.000000	94.012	-12.0014
475.000000	93.979	-11.6832
482.000000	93.940	-11.3712
487.000000	93.914	-11.1597
494.000000	93.882	-10.8677
500.000000	93.854	-10.6076
508.000000	93.810	-10.2443
515.000000	93.775	-9.9207
522.000000	93.750	-9.6087
530.000000	93.719	-9.2611
538.000000	93.673	-8.8955
545.000000	93.635	-8.5499
552.000000	93.609	-8.1996
560.000000	93.585	-7.8083
570.000000	93.545	-7.3178
580.000000	93.490	-6.8197
590.000000	93.437	-6.3141
600.000000	93.402	-5.8050
608.000000	93.382	-5.3920
615.000000	93.365	-5.0143
622.000000	93.347	-4.6268
630.000000	93.324	-4.1910
640.000000	93.291	-3.6458
650.000000	93.257	-3.0926
660.000000	93.225	-2.5221
670.000000	93.198	-1.9418
680.000000	93.170	-1.3667
690.000000	93.147	-0.8002
700.000000	93.127	-0.2128
710.000000	93.105	0.4008
720.000000	93.086	1.0146
730.000000	93.072	1.6076
740.000000	93.059	2.1996
750.000000	93.046	2.8104
762.000000	93.030	3.5579
775.000000	93.014	4.3789
788.000000	93.006	5.1810
800.000000	93.012	5.9280
812.000000	93.026	6.6828
825.000000	93.038	7.4893
838.000000	93.044	8.2744
850.000000	93.057	8.9985
862.000000	93.075	9.7274
875.000000	93.096	10.5032
885.000000	93.115	11.0782
900.000000	93.153	11.9095
912.000000	93.193	12.5610
925.000000	93.239	13.2551
938.000000	93.287	13.9216
950.000000	93.332	14.5011
