* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 4, 2023 4:05:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: AudioSense DT200 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
19.750000	103.270	11.6320
20.000000	103.254	11.0380
20.299999	103.237	10.3914
20.600000	103.227	9.8065
20.900000	103.225	9.2474
21.200001	103.228	8.6573
21.400000	103.231	8.2288
21.799999	103.230	7.3328
22.000000	103.225	6.9102
22.400000	103.205	6.2485
22.700001	103.185	5.9799
23.000000	103.169	5.8719
23.299999	103.177	5.7720
23.600000	103.214	5.5240
24.000000	103.283	4.8033
24.299999	103.311	4.0070
24.700001	103.281	2.8591
25.000000	103.211	2.1495
25.400000	103.090	1.5360
25.799999	102.989	1.1370
26.200001	102.915	0.6266
26.500000	102.851	0.0914
26.900000	102.720	-0.6638
27.200001	102.590	-1.0341
27.600000	102.418	-1.0644
28.000000	102.320	-0.7328
28.500000	102.341	-0.6156
29.000000	102.404	-1.4840
29.500000	102.377	-2.9103
30.000000	102.271	-3.9185
30.400000	102.217	-4.2473
30.700001	102.231	-4.4325
31.100000	102.301	-4.9779
31.500000	102.361	-5.9786
32.000000	102.335	-7.4329
32.500000	102.213	-8.2981
33.000000	102.119	-8.2908
33.500000	102.138	-7.9868
34.000000	102.223	-8.1323
34.500000	102.268	-8.8566
35.000000	102.221	-9.7219
35.500000	102.107	-10.2324
36.000000	101.992	-10.2782
36.500000	101.924	-10.1229
37.000000	101.903	-10.1442
37.500000	101.891	-10.5071
38.200001	101.822	-11.3238
38.700001	101.741	-11.8179
39.500000	101.625	-12.3474
40.000000	101.570	-12.6987
40.599998	101.506	-13.2004
41.200001	101.442	-13.6615
41.799999	101.386	-14.0193
42.500000	101.336	-14.3818
43.099998	101.302	-14.6943
43.700001	101.271	-15.0098
44.400002	101.226	-15.3981
45.000000	101.171	-15.7309
45.500000	101.114	-15.9579
46.200001	101.029	-16.1613
46.799999	100.968	-16.2859
47.500000	100.911	-16.5010
48.200001	100.869	-16.8358
48.700001	100.843	-17.1136
49.400002	100.800	-17.4880
50.000000	100.751	-17.7664
50.799999	100.673	-18.0797
51.500000	100.609	-18.3251
52.200001	100.558	-18.5629
53.000000	100.498	-18.8088
53.799999	100.433	-19.0037
54.500000	100.380	-19.1434
55.200001	100.321	-19.2665
56.000000	100.249	-19.4073
57.000000	100.182	-19.6605
58.000000	100.111	-19.9644
59.000000	100.026	-20.2113
60.000000	99.964	-20.4442
60.799999	99.926	-20.6277
61.500000	99.883	-20.7726
62.200001	99.829	-20.9100
63.000000	99.768	-21.0596
64.000000	99.705	-21.2128
65.000000	99.639	-21.3425
66.000000	99.562	-21.4963
67.000000	99.494	-21.6750
68.000000	99.441	-21.8451
69.000000	99.396	-21.9869
70.000000	99.350	-22.1088
71.000000	99.290	-22.2169
72.000000	99.214	-22.3004
73.000000	99.141	-22.3855
74.000000	99.084	-22.4970
75.000000	99.038	-22.6027
76.199997	98.986	-22.6893
77.500000	98.930	-22.7662
78.800003	98.868	-22.8459
80.000000	98.807	-22.9342
81.199997	98.737	-23.0320
82.500000	98.654	-23.1105
83.800003	98.578	-23.1567
85.000000	98.519	-23.1975
86.199997	98.467	-23.2441
87.500000	98.415	-23.3037
88.500000	98.378	-23.3452
90.000000	98.317	-23.3861
91.199997	98.259	-23.4117
92.500000	98.190	-23.4481
93.800003	98.121	-23.4855
95.000000	98.065	-23.5128
96.199997	98.015	-23.5334
97.500000	97.962	-23.5499
98.800003	97.915	-23.5639
100.000000	97.878	-23.5769
101.500000	97.835	-23.5875
103.000000	97.787	-23.5808
104.400002	97.730	-23.5607
106.000000	97.653	-23.5388
107.500000	97.587	-23.5256
109.000000	97.543	-23.5212
110.599998	97.509	-23.5209
112.000000	97.467	-23.5115
113.800003	97.386	-23.4744
115.000000	97.335	-23.4482
117.199997	97.279	-23.4017
118.000000	97.265	-23.3869
120.599998	97.185	-23.3425
122.000000	97.134	-23.2854
124.099998	97.065	-23.2147
125.000000	97.034	-23.1852
126.500000	96.991	-23.1369
128.000000	96.961	-23.1136
131.500000	96.874	-23.0675
132.000000	96.858	-23.0480
134.000000	96.793	-22.9475
136.000000	96.736	-22.8716
138.000000	96.690	-22.8103
140.000000	96.642	-22.7361
143.000000	96.553	-22.5970
145.000000	96.489	-22.5042
147.500000	96.415	-22.4000
150.000000	96.357	-22.2998
152.500000	96.318	-22.1981
155.000000	96.280	-22.0833
157.500000	96.243	-21.9524
160.000000	96.197	-21.8213
162.500000	96.141	-21.6735
165.000000	96.085	-21.4856
167.500000	96.032	-21.2709
170.000000	95.984	-21.0568
172.500000	95.933	-20.8497
175.000000	95.876	-20.5947
177.500000	95.825	-20.2564
180.000000	95.782	-19.8551
182.500000	95.741	-19.4408
185.000000	95.705	-19.0143
187.500000	95.691	-18.5472
190.000000	95.699	-18.0797
192.500000	95.720	-17.6979
195.000000	95.752	-17.4885
197.500000	95.795	-17.4615
200.000000	95.833	-17.5575
203.000000	95.849	-17.7493
206.000000	95.834	-17.9713
209.000000	95.809	-18.1638
212.000000	95.780	-18.2984
214.000000	95.756	-18.3707
218.000000	95.702	-18.5081
220.000000	95.673	-18.5590
224.000000	95.611	-18.5748
227.000000	95.572	-18.5261
230.000000	95.537	-18.4717
233.000000	95.495	-18.4392
236.000000	95.450	-18.4174
240.000000	95.400	-18.3417
243.000000	95.367	-18.2275
247.000000	95.324	-18.0580
250.000000	95.287	-17.9636
254.000000	95.234	-17.8774
258.000000	95.189	-17.7742
262.000000	95.150	-17.6055
265.000000	95.119	-17.4624
269.000000	95.078	-17.3154
272.000000	95.050	-17.2365
276.000000	95.017	-17.1071
280.000000	94.980	-16.9160
285.000000	94.926	-16.6763
290.000000	94.879	-16.5097
295.000000	94.846	-16.3478
300.000000	94.817	-16.1340
304.000000	94.781	-15.9536
307.000000	94.752	-15.8322
311.000000	94.716	-15.6982
315.000000	94.684	-15.5740
320.000000	94.641	-15.3756
325.000000	94.593	-15.1379
330.000000	94.558	-14.9200
